year,match_time,stage,venue,home_team,away_team,attendance,referee,score
2006,10 Jun 2006 - 18:00 ,Group B,"FIFA World Cup Stadium, Dortmund","rn"">Trinidad and Tobago",Sweden,62959.0,MAIDIN Shamsul (SIN),0-0
2006,10 Jun 2006 - 21:00 ,Group C,"FIFA World Cup Stadium, Hamburg",Argentina,C�te d'Ivoire,49480.0,DE BLEECKERE Frank (BEL),2-1
2006,11 Jun 2006 - 15:00 ,Group C,Zentralstadion,"rn"">Serbia and Montenegro",Netherlands,43000.0,MERK Markus (GER),0-1
2006,11 Jun 2006 - 18:00 ,Group D,Franken-Stadion,Mexico,Iran,41000.0,ROSETTI Roberto (ITA),3-1
2006,11 Jun 2006 - 21:00 ,Group D,"FIFA World Cup Stadium, Cologne",Angola,Portugal,45000.0,LARRIONDA Jorge (URU),0-1
2006,12 Jun 2006 - 15:00 ,Group F,Fritz-Walter-Stadion,Australia,Japan,46000.0,ABD EL FATAH Essam (EGY),3-1
2006,12 Jun 2006 - 18:00 ,Group E,"FIFA World Cup Stadium, Gelsenkirchen",USA,Czech Republic,52000.0,AMARILLA Carlos (PAR),0-3
2006,12 Jun 2006 - 21:00 ,Group E,"FIFA World Cup Stadium, Hanover",Italy,Ghana,43000.0,SIMON Carlos (BRA),2-0
2006,13 Jun 2006 - 15:00 ,Group G,"FIFA World Cup Stadium, Frankfurt",Korea Republic,Togo,48000.0,POLL Graham (ENG),2-1
2006,13 Jun 2006 - 18:00 ,Group G,Gottlieb-Daimler-Stadion,France,Switzerland,52000.0,IVANOV Valentin (RUS),0-0
2006,13 Jun 2006 - 21:00 ,Group F,Olympiastadion,Brazil,Croatia,72000.0,ARCHUNDIA Benito (MEX),1-0
2006,14 Jun 2006 - 15:00 ,Group H,Zentralstadion,Spain,Ukraine,43000.0,BUSACCA Massimo (SUI),4-0
2006,14 Jun 2006 - 18:00 ,Group H,"FIFA World Cup Stadium, Munich",Tunisia,Saudi Arabia,66000.0,SHIELD Mark (AUS),2-2
2006,14 Jun 2006 - 21:00 ,Group A,"FIFA World Cup Stadium, Dortmund",Germany,Poland,65000.0,MEDINA CANTALEJO Luis (ESP),1-0
2006,15 Jun 2006 - 15:00 ,Group A,"FIFA World Cup Stadium, Hamburg",Ecuador,Costa Rica,50000.0,CODJIA Coffi (BEN),3-0
2006,15 Jun 2006 - 18:00 ,Group B,Franken-Stadion,England,"rn"">Trinidad and Tobago",41000.0,KAMIKAWA Toru (JPN),2-0
2006,15 Jun 2006 - 21:00 ,Group B,Olympiastadion,Sweden,Paraguay,72000.0,MICHEL Lubos (SVK),1-0
2006,16 Jun 2006 - 15:00 ,Group C,"FIFA World Cup Stadium, Gelsenkirchen",Argentina,"rn"">Serbia and Montenegro",52000.0,ROSETTI Roberto (ITA),6-0
2006,16 Jun 2006 - 18:00 ,Group C,Gottlieb-Daimler-Stadion,Netherlands,C�te d'Ivoire,52000.0,RUIZ Oscar (COL),2-1
2006,16 Jun 2006 - 21:00 ,Group D,"FIFA World Cup Stadium, Hanover",Mexico,Angola,43000.0,MAIDIN Shamsul (SIN),0-0
